lad,lad_nm,population,total_funding,funding_pc_raw,funding_pc,Per capita funding from Conservative governments,Per capita funding from Labour governments,con_pc_year,lab_pc_year,region,deprivation_mean,foreign_born,conservative_share,labour_share,libdem_share,green_share,reform_uk_share,other_share,seat_safeness,total_votes,reform_uk_share_q4_2024,reform_uk_share_q1_2025,reform_uk_share_q2_2025,reform_uk_share_q3_2025,reform_uk_share_q4_2025,reform_change
E07000170,Ashfield,129572.0,120495342.0,930.0,930.0,£764,£166,59.0,83.0,East Midlands,0.8445887684150659,0.05711005542359462,0.14637273025999553,0.13299448051299292,0.052249249164484354,0.07815948040660299,0.5095127357580905,0.0806738916279977,0.3235730670624747,59288.0,0.36291219536526126,0.3663688208833182,0.4843315120642476,0.5240882280805513,0.5095127357580905,0.14660054039282927
E07000136,Boston,71080.0,66013654.0,929.0,929.0,£626,£302,48.0,151.0,East Midlands,0.842606448102299,0.23647556097699357,0.2529926676002121,0.06632555573997878,0.04545577893809723,0.049327673712567646,0.5144867161476331,0.07139645798876779,0.2612540686605662,32566.0,0.3793856060287034,0.353386961616685,0.4539453119121784,0.5009363459609443,0.5144867161476331,0.13510111011892967
E07000138,Lincoln,105114.0,91675987.0,872.0,872.0,£682,£190,52.0,95.0,East Midlands,0.8019338446336988,0.1508577923766773,0.20842999577054533,0.15586317571101832,0.08672498895566795,0.15957017632777235,0.32394020150439445,0.0654039510751858,0.09642084840645905,49481.0,0.21681666978671701,0.22387008904300415,0.3343479182451721,0.3748709715765908,0.32394020150439445,0.10712353171767744
E07000175,Newark and Sherwood,127886.0,108178931.0,846.0,846.0,£690,£156,53.0,78.0,East Midlands,0.7192334377168145,0.07261134064218094,0.2922436614103266,0.10982523584053758,0.06928155950094335,0.07997189958770146,0.37985575849118647,0.0687876838255339,0.09284908498370519,63824.0,0.2412285785313351,0.24117033100504032,0.3488336734355235,0.3908661026951414,0.37985575849118647,0.13862717995985135
E07000034,Chesterfield,106045.0,85118442.0,803.0,803.0,£614,£189,47.0,94.0,East Midlands,0.8126222481168588,0.048962527397194144,0.14504251243413915,0.19818831586601185,0.08468768620815187,0.12019900077728693,0.3916218447934417,0.06019198712133821,0.16790051572117784,48088.0,0.2474890388759921,0.24872046356558453,0.365263979571404,0.4115764995215132,0.3916218447934417,0.1441328059174496
E07000137,East Lindsey,145183.0,111512809.0,768.0,768.0,£493,£276,38.0,138.0,East Midlands,0.886308181733947,0.04128717602743577,0.27470943784890045,0.06987133512031221,0.058502126985497296,0.07205614684475144,0.4477325889017785,0.07711108128874217,0.17277161372334987,72373.0,0.3349208722499608,0.301380189090332,0.39722787850982555,0.44560070987895384,0.4477325889017785,0.11281171665181772
E07000219,Nuneaton and Bedworth,141565.0,107592196.0,760.0,760.0,£467,£293,36.0,147.0,West Midlands,0.7995617290495882,0.11504728123579513,0.2505916295715259,0.12835740708922186,0.0640109937831508,0.06884581437520276,0.39833546717005325,0.08983629166525117,0.14236238498451786,68143.0,0.312900081475651,0.35970396079895484,0.4043984942293732,0.40252745917863664,0.39833546717005325,0.08543538569440223
E07000239,Wyre Forest,103913.0,71242761.0,686.0,686.0,£483,£202,37.0,101.0,West Midlands,0.7773266846123296,0.049720983790486874,0.2691117539788811,0.09964675888647223,0.0770930422771139,0.07280510837141402,0.3904324442016582,0.09090500146251726,0.1211870939323863,54486.0,0.3261747606208359,0.35176717449391187,0.3994418300765741,0.3989319839924006,0.3904324442016582,0.06425768358082229
E07000039,South Derbyshire,117493.0,80297382.0,683.0,683.0,£683,£0,53.0,0.0,East Midlands,0.6235770021441677,0.05988470794545082,0.28759024744319456,0.11486359264952417,0.07330737778770006,0.07881877691279769,0.37102358404146935,0.07438031888396289,0.08664807292739082,53423.0,0.2314322022309171,0.24316226213369024,0.3490879721524313,0.37763475622342363,0.37102358404146935,0.13959138181055225
E07000237,Worcester,106671.0,71007882.0,666.0,666.0,£469,£197,36.0,98.0,West Midlands,0.7069767441860465,0.1279074245224892,0.16826212773646712,0.2389110021622862,0.09812996567368562,0.11986049766231514,0.294117154918874,0.08064875228831325,0.02875922924545291,55530.0,0.2192615280118793,0.2692391989601572,0.32352408075266964,0.32517290277930433,0.294117154918874,0.07485562690699474
